source_references,msgctxt,msgid,msgstr,comments
src/components/routes/organizer/Reports/CheckInSummaryReport/index.tsx:58 | src/components/routes/organizer/Reports/index.tsx:35,,Check-in Summary,"=GOOGLETRANSLATE(C358, ""en"", ""el"")",
src/components/common/CheckInListList/index.tsx:164,,Check-In URL copied to clipboard,"=GOOGLETRANSLATE(C359, ""en"", ""el"")",
src/components/common/AttendeeDetails/index.tsx:47,,Check-Ins,"=GOOGLETRANSLATE(C360, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:114,,Checkbox options allow multiple selections,"=GOOGLETRANSLATE(C361, ""en"", ""el"")",
src/components/forms/QuestionForm/index.tsx:112,,Checkboxes,"=GOOGLETRANSLATE(C362, ""en"", ""el"")",
src/components/common/AttendeeTable/index.tsx:322 | src/components/common/CheckInStatusModal/index.tsx:110 | src/components/routes/organizer/Reports/CheckInSummaryReport/index.tsx:40,,Checked In,"=GOOGLETRANSLATE(C363, ""en"", ""el"")",
src/components/routes/event/Settings/index.tsx:52,,Checkout,"=GOOGLETRANSLATE(C364, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/HomepageAndCheckoutSettings/index.tsx:87,,Checkout Settings,"=GOOGLETRANSLATE(C365, ""en"", ""el"")",
src/components/common/LanguageSwitcher/index.tsx:34,,Chinese (Simplified),"=GOOGLETRANSLATE(C366, ""en"", ""el"")",
src/components/common/LanguageSwitcher/index.tsx:36,,Chinese (Traditional),"=GOOGLETRANSLATE(C367, ""en"", ""el"")",
src/components/routes/event/HomepageDesigner/index.tsx:216 | src/components/routes/organizer/OrganizerHomepageDesigner/index.tsx:248,,Choose a color for your background,"=GOOGLETRANSLATE(C368, ""en"", ""el"")",
src/components/modals/ChooseAccountModal/index.tsx:13,,Choose an account,"=GOOGLETRANSLATE(C369, ""en"", ""el"")",
src/components/routes/events/Dashboard/index.tsx:233,,Choose an Organizer,"=GOOGLETRANSLATE(C370, ""en"", ""el"")",
src/components/common/CalendarOptionsPopover/index.tsx:21,,Choose calendar,"=GOOGLETRANSLATE(C371, ""en"", ""el"")",
src/components/routes/organizer/Settings/Sections/PlatformFeesSettings/index.tsx:45,,Choose the default setting for new events. This can be overridden for individual events.,"=GOOGLETRANSLATE(C372, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/PlatformFeesSettings/index.tsx:51,,Choose who pays the platform fee. This does not affect additional fees you've configured in your account settings.,"=GOOGLETRANSLATE(C373, ""en"", ""el"")",
src/components/common/CheckoutQuestion/index.tsx:162 | src/components/routes/event/Settings/Sections/LocationSettings/index.tsx:137 | src/components/routes/organizer/Settings/Sections/AddressSettings/index.tsx:92 | src/components/routes/product-widget/CollectInformation/index.tsx:537 | src/components/routes/product-widget/CollectInformation/index.tsx:538,,City,"=GOOGLETRANSLATE(C374, ""en"", ""el"")",
src/components/common/SearchBar/index.tsx:75,,Clear Search Text,"=GOOGLETRANSLATE(C375, ""en"", ""el"")",
src/components/common/PromoCodeTable/index.tsx:103,,Click to copy,"=GOOGLETRANSLATE(C376, ""en"", ""el"")",
src/components/common/AttendeeTable/index.tsx:207,,Click to view notes,"=GOOGLETRANSLATE(C377, ""en"", ""el"")",
src/components/routes/product-widget/SelectProducts/index.tsx:598,,close,"=GOOGLETRANSLATE(C378, ""en"", ""el"")",
src/components/common/AttendeeCheckInTable/PermissionDeniedMessage.tsx:27 | src/components/layouts/Checkout/index.tsx:187 | src/components/modals/JoinWaitlistModal/index.tsx:103 | src/components/modals/JoinWaitlistModal/index.tsx:130 | src/components/modals/RefundOrderModal/index.tsx:169 | src/components/routes/product-widget/SelectProducts/index.tsx:375 | src/components/routes/product-widget/SelectProducts/index.tsx:599,,Close,"=GOOGLETRANSLATE(C379, ""en"", ""el"")",
src/components/modals/CreateEventModal/index.tsx:119,,Close modal,"=GOOGLETRANSLATE(C380, ""en"", ""el"")",
src/components/layouts/Checkout/index.tsx:183,,Close popup window and return to event page.,"=GOOGLETRANSLATE(C381, ""en"", ""el"")",
src/components/layouts/AppLayout/Sidebar/index.tsx:98,,Close sidebar,"=GOOGLETRANSLATE(C382, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:86 | src/components/common/PromoCodeTable/index.tsx:74 | src/components/forms/AffiliateForm/index.tsx:38 | src/components/forms/AffiliateForm/index.tsx:72 | src/components/forms/PromoCodeForm/index.tsx:42,,Code,"=GOOGLETRANSLATE(C383, ""en"", ""el"")",
src/components/modals/CreateAffiliateModal/index.tsx:31,,"Code can only contain letters, numbers, hyphens, and underscores","=GOOGLETRANSLATE(C384, ""en"", ""el"")",
src/components/modals/CreateAffiliateModal/index.tsx:30,,Code is required,"=GOOGLETRANSLATE(C385, ""en"", ""el"")",
src/components/modals/CreateAffiliateModal/index.tsx:32,,Code must be at least 3 characters,"=GOOGLETRANSLATE(C386, ""en"", ""el"")",
src/components/modals/CreatePromoCodeModal/index.tsx:26 | src/components/modals/EditPromoCodeModal/index.tsx:38,,Code must be between 3 and 50 characters long,"=GOOGLETRANSLATE(C387, ""en"", ""el"")",
src/components/modals/CreateAffiliateModal/index.tsx:33,,Code must be no more than 20 characters,"=GOOGLETRANSLATE(C388, ""en"", ""el"")",
src/components/layouts/OrganizerLayout/index.tsx:170,,Collaborate with your team to create amazing events together.,"=GOOGLETRANSLATE(C389, ""en"", ""el"")",
src/components/forms/ProductForm/index.tsx:473,,Collapse this product when the event page is initially loaded,"=GOOGLETRANSLATE(C390, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/HomepageAndCheckoutSettings/index.tsx:46 | src/components/routes/organizer/Settings/Sections/EventDefaults/index.tsx:34,,Collect attendee details for each ticket purchased.,"=GOOGLETRANSLATE(C391, ""en"", ""el"")",
src/components/common/QuestionsTable/index.tsx:387,,Collect details per order,"=GOOGLETRANSLATE(C392, ""en"", ""el"")",
src/components/common/QuestionsTable/index.tsx:381,,Collect details per ticket,"=GOOGLETRANSLATE(C393, ""en"", ""el"")",
src/components/routes/event/HomepageDesigner/index.tsx:214 | src/components/routes/organizer/OrganizerHomepageDesigner/index.tsx:246,,Color,"=GOOGLETRANSLATE(C394, ""en"", ""el"")",
src/components/common/ThemeColorControls/index.tsx:70,,Color Mode,"=GOOGLETRANSLATE(C395, ""en"", ""el"")",
src/components/common/WidgetEditor/index.tsx:19,,Color must be a valid hex color code. Example: #ffffff,"=GOOGLETRANSLATE(C396, ""en"", ""el"")",
src/components/common/WidgetEditor/index.tsx:173,,Colors,"=GOOGLETRANSLATE(C397, ""en"", ""el"")",
src/components/common/ColumnVisibilityToggle/index.tsx:21,,Columns,"=GOOGLETRANSLATE(C398, ""en"", ""el"")",
src/constants/eventCategories.ts:9,,Comedy,"=GOOGLETRANSLATE(C399, ""en"", ""el"")",
src/components/layouts/AppLayout/Sidebar/index.tsx:68,,Coming Soon,"=GOOGLETRANSLATE(C400, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/SeoSettings/index.tsx:78 | src/components/routes/organizer/Settings/Sections/SeoSettings/index.tsx:75,,Comma seperated keywords that describe the event. These will be used by search engines to help categorize and index the event,"=GOOGLETRANSLATE(C401, ""en"", ""el"")",
src/components/routes/profile/ManageProfile/index.tsx:204,,Communication Preferences,"=GOOGLETRANSLATE(C402, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:728,,Complete Order,"=GOOGLETRANSLATE(C403, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:346 | src/components/routes/product-widget/Payment/index.tsx:148,,Complete Payment,"=GOOGLETRANSLATE(C404, ""en"", ""el"")",
src/components/common/StripeConnectButton/index.tsx:87 | src/components/routes/event/EventDashboard/index.tsx:243,,Complete Stripe Setup,"=GOOGLETRANSLATE(C405, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:115,,Complete the setup below to continue,"=GOOGLETRANSLATE(C406, ""en"", ""el"")",
src/components/routes/event/EventDashboard/index.tsx:165,,Complete these steps to start selling tickets for your event.,"=GOOGLETRANSLATE(C407, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:417,,"Complete your order to secure your tickets. This offer is time-limited, so don't wait too long.","=GOOGLETRANSLATE(C408, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:344,,Complete your payment to secure your tickets.,"=GOOGLETRANSLATE(C409, ""en"", ""el"")",
src/components/routes/auth/AcceptInvitation/index.tsx:88,,Complete your profile to join the team.,"=GOOGLETRANSLATE(C410, ""en"", ""el"")",
src/components/common/OrdersTable/index.tsx:405 | src/components/modals/SendMessageModal/index.tsx:333 | src/components/routes/event/GettingStarted/index.tsx:75 | src/components/routes/event/orders.tsx:23 | src/components/routes/my-tickets/index.tsx:34 | src/components/routes/organizer/OrganizerDashboard/index.tsx:354,,Completed,"=GOOGLETRANSLATE(C411, ""en"", ""el"")",
src/components/common/StatBoxes/index.tsx:75,,Completed orders,"=GOOGLETRANSLATE(C412, ""en"", ""el"")",
src/components/routes/event/EventDashboard/index.tsx:275,,Completed Orders,"=GOOGLETRANSLATE(C413, ""en"", ""el"")",
src/components/common/WidgetEditor/index.tsx:293,,Component Code,"=GOOGLETRANSLATE(C414, ""en"", ""el"")",
src/components/routes/event/messages.tsx:240 | src/components/routes/event/messages.tsx:287,,Compose,"=GOOGLETRANSLATE(C415, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/LocationSettings/index.tsx:120,,Conference Center,"=GOOGLETRANSLATE(C416, ""en"", ""el"")",
src/components/routes/admin/Accounts/AccountDetail/index.tsx:42,,Configuration assigned successfully,"=GOOGLETRANSLATE(C417, ""en"", ""el"")",
src/components/routes/admin/Configurations/index.tsx:195,,Configuration created successfully,"=GOOGLETRANSLATE(C418, ""en"", ""el"")",
src/components/routes/admin/Configurations/index.tsx:41,,Configuration deleted successfully,"=GOOGLETRANSLATE(C419, ""en"", ""el"")",
src/components/routes/admin/Configurations/index.tsx:74,,Configuration names are visible to end users. Fixed fees will be converted to the order currency at the current exchange rate.,"=GOOGLETRANSLATE(C420, ""en"", ""el"")",
src/components/routes/admin/Configurations/index.tsx:195,,Configuration updated successfully,"=GOOGLETRANSLATE(C421, ""en"", ""el"")",
src/components/layouts/Admin/index.tsx:21 | src/components/routes/admin/Configurations/index.tsx:64,,Configurations,"=GOOGLETRANSLATE(C422, ""en"", ""el"")",
src/components/routes/event/Settings/index.tsx:158,,"Configure event details, location, checkout options, and email notifications.","=GOOGLETRANSLATE(C423, ""en"", ""el"")",
src/components/common/QuestionsTable/index.tsx:417,,Configure how attendee details are collected during checkout,"=GOOGLETRANSLATE(C424, ""en"", ""el"")",
src/components/common/PlatformFeesSettings/index.tsx:267,,Configure Taxes & Fees,"=GOOGLETRANSLATE(C425, ""en"", ""el"")",
src/components/routes/event/Reports/PromoCodesReport/index.tsx:35,,Configured Discount,"=GOOGLETRANSLATE(C426, ""en"", ""el"")",
src/utilites/confirmationDialog.tsx:16,,Confirm,"=GOOGLETRANSLATE(C427, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:462 | src/components/routes/product-widget/CollectInformation/index.tsx:463 | src/components/routes/product-widget/CollectInformation/index.tsx:687 | src/components/routes/product-widget/CollectInformation/index.tsx:688,,Confirm Email Address,"=GOOGLETRANSLATE(C428, ""en"", ""el"")",
src/components/routes/profile/ConfirmEmailChange/index.tsx:51 | src/components/routes/profile/ConfirmEmailChange/index.tsx:56,,Confirm Email Change,"=GOOGLETRANSLATE(C429, ""en"", ""el"")",
src/components/routes/auth/ResetPassword/index.tsx:71,,Confirm new password,"=GOOGLETRANSLATE(C430, ""en"", ""el"")",
src/components/routes/profile/ManageProfile/index.tsx:236,,Confirm New Password,"=GOOGLETRANSLATE(C431, ""en"", ""el"")",
src/components/routes/auth/AcceptInvitation/index.tsx:134 | src/components/routes/auth/Register/index.tsx:119,,Confirm password,"=GOOGLETRANSLATE(C432, ""en"", ""el"")",
src/components/routes/auth/AcceptInvitation/index.tsx:133 | src/components/routes/auth/Register/index.tsx:118 | src/components/routes/auth/ResetPassword/index.tsx:70,,Confirm Password,"=GOOGLETRANSLATE(C433, ""en"", ""el"")",
src/components/layouts/Event/index.tsx:259,,Confirm your email to access all features.,"=GOOGLETRANSLATE(C434, ""en"", ""el"")",
src/components/layouts/OrganizerLayout/index.tsx:311,,Confirmation email sent! Please check your inbox.,"=GOOGLETRANSLATE(C435, ""en"", ""el"")",
src/components/routes/product-widget/OrderSummaryAndProducts/index.tsx:196,,Confirmation sent to,"=GOOGLETRANSLATE(C436, ""en"", ""el"")",
src/components/routes/profile/ConfirmEmailAddress/index.tsx:36,,Confirming email address...,"=GOOGLETRANSLATE(C437, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:93,,Congratulations on creating an event!,"=GOOGLETRANSLATE(C438, ""en"", ""el"")",
src/components/modals/EventLiveCelebrationModal/index.tsx:52,,Congratulations! Your event is now visible to the public.,"=GOOGLETRANSLATE(C439, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:235,,Connect & Upgrade,"=GOOGLETRANSLATE(C440, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:653,,Connect Documentation,"=GOOGLETRANSLATE(C441, ""en"", ""el"")",
src/components/routes/event/EventDashboard/index.tsx:230,,Connect payment processing,"=GOOGLETRANSLATE(C442, ""en"", ""el"")",
src/components/layouts/OrganizerLayout/index.tsx:183 | src/components/layouts/OrganizerLayout/index.tsx:191,,Connect Stripe,"=GOOGLETRANSLATE(C443, ""en"", ""el"")",
src/components/common/EmailTemplateSettings/EmailTemplateSettingsBase.tsx:351,,Connect Stripe to enable email template editing,"=GOOGLETRANSLATE(C444, ""en"", ""el"")",
src/components/modals/SendMessageModal/index.tsx:240,,Connect Stripe to enable messaging,"=GOOGLETRANSLATE(C445, ""en"", ""el"")",
src/components/routes/event/EventDashboard/index.tsx:243,,Connect to Stripe,"=GOOGLETRANSLATE(C446, ""en"", ""el"")",
src/components/common/StripeConnectButton/index.tsx:85 | src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:235 | src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:454 | src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:671 | src/components/routes/event/GettingStarted/index.tsx:159,,Connect with Stripe,"=GOOGLETRANSLATE(C447, ""en"", ""el"")",
src/components/layouts/OrganizerLayout/index.tsx:184,,Connect your Stripe account to accept payments for tickets and products.,"=GOOGLETRANSLATE(C448, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:223,,Connect your Stripe account to accept payments.,"=GOOGLETRANSLATE(C449, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:446,,Connect your Stripe account to start accepting payments for your events.,"=GOOGLETRANSLATE(C450, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:221,,Connect your Stripe account to start accepting payments.,"=GOOGLETRANSLATE(C451, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:155,,Connect your Stripe account to start receiving payments.,"=GOOGLETRANSLATE(C452, ""en"", ""el"")",
src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:392 | src/components/routes/account/ManageAccount/sections/PaymentSettings/index.tsx:629,,Connected to Stripe,"=GOOGLETRANSLATE(C453, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/LocationSettings/index.tsx:101,,Connection Details,"=GOOGLETRANSLATE(C454, ""en"", ""el"")",
src/components/common/WaitlistTable/index.tsx:149 | src/components/layouts/EventHomepage/index.tsx:583 | src/components/layouts/OrganizerHomepage/index.tsx:245,,Contact,"=GOOGLETRANSLATE(C455, ""en"", ""el"")",
src/components/common/ContactOrganizerModal/index.tsx:66,,Contact {0},"=GOOGLETRANSLATE(C456, ""en"", ""el"")",
src/components/forms/OrganizerForm/index.tsx:35,,Contact Email,"=GOOGLETRANSLATE(C457, ""en"", ""el"")",
src/components/common/Editor/Controls/InsertLiquidVariableControl.tsx:48 | src/components/common/Editor/Controls/InsertLiquidVariableControl.tsx:81,,Contact email for support,"=GOOGLETRANSLATE(C458, ""en"", ""el"")",
src/components/common/WidgetEditor/index.tsx:29 | src/components/common/WidgetEditor/index.tsx:222 | src/components/layouts/Checkout/CheckoutFooter/index.tsx:57 | src/components/routes/product-widget/SelectProducts/index.tsx:551,,Continue,"=GOOGLETRANSLATE(C459, ""en"", ""el"")",
src/components/common/WidgetEditor/index.tsx:221 | src/components/routes/event/HomepageDesigner/index.tsx:252,,Continue Button Text,"=GOOGLETRANSLATE(C460, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:145,,Continue set up,"=GOOGLETRANSLATE(C461, ""en"", ""el"")",
src/components/forms/OrganizerForm/index.tsx:125 | src/components/modals/CreateEventModal/index.tsx:264 | src/components/routes/welcome/index.tsx:410,,Continue Setup,"=GOOGLETRANSLATE(C462, ""en"", ""el"")",
src/components/routes/product-widget/SelectProducts/index.tsx:404,,Continue to Checkout,"=GOOGLETRANSLATE(C463, ""en"", ""el"")",
src/components/forms/OrganizerForm/index.tsx:123,,Continue to event creation,"=GOOGLETRANSLATE(C464, ""en"", ""el"")",
src/components/routes/welcome/index.tsx:408,,Continue to next step,"=GOOGLETRANSLATE(C465, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:728,,Continue to Payment,"=GOOGLETRANSLATE(C466, ""en"", ""el"")",
src/components/routes/event/Settings/Sections/PlatformFeesSettings/index.tsx:49,,Control how platform fees are handled for this event,"=GOOGLETRANSLATE(C467, ""en"", ""el"")",
src/components/common/AttendeeTicket/index.tsx:208 | src/components/common/CopyButton/index.tsx:13 | src/components/modals/CheckInListSuccessModal/index.tsx:42 | src/components/modals/EventLiveCelebrationModal/index.tsx:75 | src/components/modals/ShareModal/index.tsx:255,,Copied,"=GOOGLETRANSLATE(C468, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:652,,Copied from above,"=GOOGLETRANSLATE(C469, ""en"", ""el"")",
src/components/common/PromoCodeTable/index.tsx:111,,copied to clipboard,"=GOOGLETRANSLATE(C470, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:52,,Copied to clipboard,"=GOOGLETRANSLATE(C471, ""en"", ""el"")",
src/components/modals/EventLiveCelebrationModal/index.tsx:67 | src/components/modals/ShareModal/index.tsx:248,,Copied!,"=GOOGLETRANSLATE(C472, ""en"", ""el"")",
src/components/common/CopyButton/index.tsx:13 | src/components/modals/CheckInListSuccessModal/index.tsx:42 | src/components/modals/EventLiveCelebrationModal/index.tsx:75 | src/components/modals/ShareModal/index.tsx:255,,Copy,"=GOOGLETRANSLATE(C473, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:188,,Copy Affiliate Link,"=GOOGLETRANSLATE(C474, ""en"", ""el"")",
src/components/common/CheckInListList/index.tsx:158,,Copy Check-In URL,"=GOOGLETRANSLATE(C475, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:183,,Copy Code,"=GOOGLETRANSLATE(C476, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:481,,Copy details to first attendee,"=GOOGLETRANSLATE(C477, ""en"", ""el"")",
src/components/common/AttendeeTable/index.tsx:197 | src/components/common/OrdersTable/index.tsx:256,,Copy Email,"=GOOGLETRANSLATE(C478, ""en"", ""el"")",
src/components/modals/EventLiveCelebrationModal/index.tsx:67,,Copy link,"=GOOGLETRANSLATE(C479, ""en"", ""el"")",
src/components/common/AttendeeTicket/index.tsx:208 | src/components/modals/ShareModal/index.tsx:171,,Copy Link,"=GOOGLETRANSLATE(C480, ""en"", ""el"")",
src/components/routes/product-widget/CollectInformation/index.tsx:491,,Copy my details to:,"=GOOGLETRANSLATE(C481, ""en"", ""el"")",
src/components/modals/ShareModal/index.tsx:264,,Copy this link to share it anywhere,"=GOOGLETRANSLATE(C482, ""en"", ""el"")",
src/components/modals/ShareModal/index.tsx:248,,Copy to clipboard,"=GOOGLETRANSLATE(C483, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:111 | src/components/common/PromoCodeTable/index.tsx:184,,Copy URL,"=GOOGLETRANSLATE(C484, ""en"", ""el"")",
src/components/common/CheckoutQuestion/index.tsx:174 | src/components/routes/event/Settings/Sections/LocationSettings/index.tsx:155 | src/components/routes/organizer/Settings/Sections/AddressSettings/index.tsx:110 | src/components/routes/product-widget/CollectInformation/index.tsx:558,,Country,"=GOOGLETRANSLATE(C485, ""en"", ""el"")",
src/components/routes/organizer/Settings/Sections/ImageAssetSettings/index.tsx:37,,Cover,"=GOOGLETRANSLATE(C486, ""en"", ""el"")",
src/components/routes/event/HomepageDesigner/index.tsx:179 | src/components/routes/organizer/OrganizerHomepageDesigner/index.tsx:189,,Cover Image,"=GOOGLETRANSLATE(C487, ""en"", ""el"")",
src/components/routes/event/HomepageDesigner/index.tsx:194,,Cover image will be displayed at the top of your event page,"=GOOGLETRANSLATE(C488, ""en"", ""el"")",
src/components/routes/organizer/OrganizerHomepageDesigner/index.tsx:204,,Cover image will be displayed at the top of your organizer page,"=GOOGLETRANSLATE(C489, ""en"", ""el"")",
src/components/routes/event/attendees.tsx:199 | src/components/routes/event/products.tsx:79,,Create,"=GOOGLETRANSLATE(C490, ""en"", ""el"")",
src/components/modals/CreateTaxOrFeeModal/index.tsx:59,,Create {0},"=GOOGLETRANSLATE(C491, ""en"", ""el"")",
src/components/common/EmailTemplateEditor/EmailTemplateEditor.tsx:108,,Create {0} Template,"=GOOGLETRANSLATE(C492, ""en"", ""el"")",
src/components/common/WidgetEditor/index.tsx:161,,Create a custom widget to sell tickets on your site.,"=GOOGLETRANSLATE(C493, ""en"", ""el"")",
src/components/routes/auth/AcceptInvitation/index.tsx:128,,Create a password,"=GOOGLETRANSLATE(C494, ""en"", ""el"")",
src/components/modals/CreateCapacityAssignmentModal/index.tsx:59,,Create a Product,"=GOOGLETRANSLATE(C495, ""en"", ""el"")",
src/components/common/PromoCodeTable/index.tsx:61,,Create a Promo Code,"=GOOGLETRANSLATE(C496, ""en"", ""el"")",
src/components/modals/CreateCheckInListModal/index.tsx:65,,Create a Ticket,"=GOOGLETRANSLATE(C497, ""en"", ""el"")",
src/components/modals/CreateOrganizerModal/index.tsx:24,,"Create additional organizers to manage separate brands, departments, or event series under one account. Each organizer has its own events, settings, and public page.","=GOOGLETRANSLATE(C498, ""en"", ""el"")",
src/components/common/AffiliateTable/index.tsx:72 | src/components/modals/CreateAffiliateModal/index.tsx:77 | src/components/modals/CreateAffiliateModal/index.tsx:93 | src/components/routes/event/Affiliates/index.tsx:90,,Create Affiliate,"=GOOGLETRANSLATE(C499, ""en"", ""el"")",
src/components/modals/CreateEventModal/index.tsx:167,,create an organizer,"=GOOGLETRANSLATE(C500, ""en"", ""el"")",
src/components/routes/event/products.tsx:49,,Create and configure tickets and merchandise for sale.,"=GOOGLETRANSLATE(C501, ""en"", ""el"")",
src/components/modals/CreateAttendeeModal/index.tsx:207,,Create Attendee,"=GOOGLETRANSLATE(C502, ""en"", ""el"")",
src/components/common/CapacityAssignmentList/index.tsx:64 | src/components/modals/CreateCapacityAssignmentModal/index.tsx:68 | src/components/modals/CreateCapacityAssignmentModal/index.tsx:79 | src/components/routes/event/CapacityAssignments/index.tsx:52,,Create Capacity Assignment,"=GOOGLETRANSLATE(C503, ""en"", ""el"")",
src/components/common/ProductsTable/SortableCategory/index.tsx:132 | src/components/common/ProductsTable/SortableCategory/index.tsx:133,,Create category,"=GOOGLETRANSLATE(C504, ""en"", ""el"")",
src/components/modals/CreateProductCategoryModal/index.tsx:45 | src/components/modals/CreateProductCategoryModal/index.tsx:60,,Create Category,"=GOOGLETRANSLATE(C505, ""en"", ""el"")",
src/components/common/CheckInListList/index.tsx:62 | src/components/modals/CreateCheckInListModal/index.tsx:84 | src/components/modals/CreateCheckInListModal/index.tsx:100 | src/components/routes/event/CheckInLists/index.tsx:51,,Create Check-In List,"=GOOGLETRANSLATE(C506, ""en"", ""el"")",
src/components/routes/admin/Configurations/index.tsx:69 | src/components/routes/admin/Configurations/index.tsx:206 | src/components/routes/admin/Configurations/index.tsx:268,,Create Configuration,"=GOOGLETRANSLATE(C507, ""en"", ""el"")",
src/components/common/EmailTemplateSettings/EmailTemplateSettingsBase.tsx:313,,Create custom email templates for this event that override the organizer defaults,"=GOOGLETRANSLATE(C508, ""en"", ""el"")",
src/components/common/EmailTemplateSettings/EmailTemplateSettingsBase.tsx:303,,Create Custom Template,"=GOOGLETRANSLATE(C509, ""en"", ""el"")",
src/components/routes/event/promo-codes.tsx:34,,"Create discounts, access codes for hidden tickets, and special offers.","=GOOGLETRANSLATE(C510, ""en"", ""el"")",
src/components/common/NoEventsBlankSlate/index.tsx:30 | src/components/layouts/OrganizerLayout/index.tsx:160 | src/components/routes/organizer/Events/index.tsx:65 | src/components/routes/organizer/OrganizerDashboard/index.tsx:260,,Create Event,"=GOOGLETRANSLATE(C511, ""en"", ""el"")",
src/components/routes/events/Dashboard/index.tsx:172,,Create new,"=GOOGLETRANSLATE(C512, ""en"", ""el"")",
src/components/routes/auth/ResetPassword/index.tsx:57,,Create new password,"=GOOGLETRANSLATE(C513, ""en"", ""el"")",
src/components/common/GlobalMenu/index.tsx:79 | src/components/modals/CreateEventModal/index.tsx:138 | src/components/modals/CreateOrganizerModal/index.tsx:18 | src/components/modals/SwitchOrganizerModal/index.tsx:96,,Create Organizer,"=GOOGLETRANSLATE(C514, ""en"", ""el"")",
src/components/modals/CreateProductModal/index.tsx:89,,Create Product,"=GOOGLETRANSLATE(C515, ""en"", ""el"")",
src/components/modals/CreatePromoCodeModal/index.tsx:51 | src/components/modals/CreatePromoCodeModal/index.tsx:56,,Create Promo Code,"=GOOGLETRANSLATE(C516, ""en"", ""el"")",
src/components/modals/CreateQuestionModal/index.tsx:70 | src/components/modals/CreateQuestionModal/index.tsx:75,,Create Question,"=GOOGLETRANSLATE(C517, ""en"", ""el"")",
src/components/forms/ProductForm/index.tsx:420 | src/components/modals/CreateTaxOrFeeModal/index.tsx:53,,Create Tax or Fee,"=GOOGLETRANSLATE(C518, ""en"", ""el"")",
src/components/modals/CreateProductModal/index.tsx:81,,Create Ticket or Product,"=GOOGLETRANSLATE(C519, ""en"", ""el"")",
src/components/routes/event/GettingStarted/index.tsx:127,,"Create tickets for your event, set prices, and manage available quantity.","=GOOGLETRANSLATE(C520, ""en"", ""el"")",
src/components/routes/event/Affiliates/index.tsx:64,,Create trackable links to reward partners who promote your event.,"=GOOGLETRANSLATE(C521, ""en"", ""el"")",
src/components/modals/CreateOrganizerWebhookModal/index.tsx:56 | src/components/modals/CreateOrganizerWebhookModal/index.tsx:66 | src/components/modals/CreateWebhookModal/index.tsx:56 | src/components/modals/CreateWebhookModal/index.tsx:66,,Create Webhook,"=GOOGLETRANSLATE(C522, ""en"", ""el"")",
src/components/modals/CreateEventModal/index.tsx:127,,Create Your Event,"=GOOGLETRANSLATE(C523, ""en"", ""el"")",
src/components/routes/welcome/index.tsx:302,,Create your first event,"=GOOGLETRANSLATE(C524, ""en"", ""el"")",
src/components/routes/organizer/OrganizerDashboard/index.tsx:251,,Create your first event to start selling tickets and managing attendees.,"=GOOGLETRANSLATE(C525, ""en"", ""el"")",
src/components/layouts/EventHomepage/EventNotAvailable/index.tsx:13 | src/components/layouts/PublicOrganizer/OrganizerNotFound/index.tsx:12,,Create your own event,"=GOOGLETRANSLATE(C526, ""en"", ""el"")",
